기간	지역	월별	발생	발생	발생	발생	소실	소실	소실	피해액	피해액	피해액	재산피해경감액	인명피해	인명피해	인명피해	이재민수	구조인원
기간	지역	월별	합계	실화	방화	기타	동수	이재가구수	면적	합계	부동산	동산	재산피해경감액	합계	사망	부상	이재민수	구조인원
2016	서대문구	계	227	202	4	21	21	6	555.3	376,653	133,364	243,289	50,864,071	4	-	4	17	2
2016	서대문구	1월	11	11	-	-	1	-	2	1,963	784	1,179	1,731,937	-	-	-	-	-
2016	서대문구	2월	22	21	1	-	2	1	138.42	92,700	30,413	62,287	6,213,296	-	-	-	3	1
2016	서대문구	3월	20	16	-	4	2	-	27	34,042	4,927	29,115	3,906,862	-	-	-	-	-
2016	서대문구	4월	16	13	1	2	7	2	53	32,616	16,862	15,754	4,746,521	-	-	-	5	-
2016	서대문구	5월	18	18	-	-	-	-	-	1,227	309	918	563,829	-	-	-	-	-
2016	서대문구	6월	26	23	-	3	1	-	10	5,062	1,714	3,348	692,501	-	-	-	-	-
2016	서대문구	7월	29	27	-	2	2	1	34	39,336	8,970	30,366	200,766	-	-	-	3	-
2016	서대문구	8월	20	15	1	4	3	2	42.88	27,607	5,276	22,331	772,244	3	-	3	6	-
2016	서대문구	9월	18	18	-	-	-	-	45	18,805	6,724	12,081	336,792	-	-	-	-	-
2016	서대문구	10월	13	11	1	1	2	-	9	13,053	2,415	10,638	30,966,817	-	-	-	-	1
2016	서대문구	11월	16	15	-	1	-	-	145	81,731	47,653	34,078	349,807	1	-	1	-	-
2016	서대문구	12월	18	14	-	4	1	-	49	28,511	7,317	21,194	382,699	-	-	-	-	-
2016	마포구	계	283	246	5	32	44	1	758.9	339,916	124,287	215,629	37,746,805	9	-	9	1	16
2016	마포구	1월	27	23	-	4	4	-	8	15,134	7,785	7,349	275,035	-	-	-	-	6
2016	마포구	2월	18	17	-	1	3	-	3	5,833	1,822	4,011	690,604	-	-	-	-	-
2016	마포구	3월	38	33	1	4	11	-	44.5	72,913	18,491	54,422	2,530,779	-	-	-	-	-
2016	마포구	4월	19	18	-	1	1	-	45	23,131	1,671	21,460	1,362	-	-	-	-	-
2016	마포구	5월	27	23	1	3	9	-	25	19,777	6,806	12,971	513,516	-	-	-	-	-
2016	마포구	6월	23	19	-	4	4	-	425	103,314	49,492	53,822	711,795	1	-	1	-	-
2016	마포구	7월	21	18	-	3	1	-	5	3,380	1,005	2,375	1,258,005	3	-	3	-	-
2016	마포구	8월	22	20	-	2	1	-	33.2	15,819	6,165	9,654	4,249,949	-	-	-	-	-
2016	마포구	9월	21	18	1	2	2	1	56.5	27,319	14,151	13,168	2,205,099	2	-	2	1	9
2016	마포구	10월	23	19	-	4	2	-	11.3	19,701	3,407	16,294	1,642,197	1	-	1	-	-
2016	마포구	11월	23	20	-	3	3	-	70.3	19,893	5,542	14,351	6,871,006	-	-	-	-	-
2016	마포구	12월	21	18	2	1	3	-	32.1	13,702	7,950	5,752	16,797,458	2	-	2	-	1
2016	양천구	계	229	214	5	10	13	-	506.6	247,184	101,203	145,981	25,012,857	3	-	3	-	28
2016	양천구	1월	26	25	1	-	-	-	10	5,810	2,116	3,694	3,608,471	-	-	-	-	-
2016	양천구	2월	15	15	-	-	4	-	215.6	33,103	25,529	7,574	2,970,387	2	-	2	-	8
2016	양천구	3월	25	22	1	2	2	-	67	12,493	2,432	10,061	482,403	-	-	-	-	-
2016	양천구	4월	14	14	-	-	1	-	15	10,440	1,685	8,755	115,157	1	-	1	-	-
2016	양천구	5월	21	20	-	1	-	-	-	14,164	3,875	10,289	6,415,602	-	-	-	-	-
2016	양천구	6월	22	22	-	-	-	-	3	5,319	413	4,906	37,301	-	-	-	-	1
2016	양천구	7월	15	14	-	1	1	-	10	13,176	7,113	6,063	96,078	-	-	-	-	2
2016	양천구	8월	22	21	1	-	2	-	-	9,744	584	9,160	3,917,876	-	-	-	-	-
2016	양천구	9월	28	26	1	1	-	-	20	64,976	15,168	49,808	631,410	-	-	-	-	5
2016	양천구	10월	16	16	-	-	3	-	144	59,054	36,215	22,839	6,349,522	-	-	-	-	12
2016	양천구	11월	10	7	-	3	-	-	18	17,777	5,426	12,351	126,723	-	-	-	-	-
2016	양천구	12월	15	12	1	2	-	-	4	1,128	647	481	261,927	-	-	-	-	-
2016	강서구	계	372	335	2	35	34	-	5,667.84	851,150	390,354	460,796	82,199,569	25	5	20	-	18
2016	강서구	1월	29	24	-	5	19	-	81	88,427	31,844	56,583	11,398,600	1	-	1	-	-
2016	강서구	2월	39	36	1	2	2	-	18	42,419	2,720	39,699	1,137,039	-	-	-	-	-
2016	강서구	3월	36	33	1	2	1	-	3,902	68,774	45,047	23,727	1,949,344	19	2	17	-	15
2016	강서구	4월	33	31	-	2	7	-	936	200,398	91,193	109,205	2,956,076	1	-	1	-	2
2016	강서구	5월	32	29	-	3	4	-	114.5	79,279	49,830	29,449	2,826,189	1	1	-	-	-
2016	강서구	6월	28	26	-	2	-	-	0.5	5,696	552	5,144	1,640,722	-	-	-	-	-
2016	강서구	7월	33	28	-	5	1	-	40	17,570	10,751	6,819	59,009,176	-	-	-	-	-
2016	강서구	8월	38	34	-	4	-	-	77	78,052	27,716	50,336	48,887	-	-	-	-	-
2016	강서구	9월	32	28	-	4	-	-	280.54	89,055	61,810	27,245	464,197	2	2	-	-	-
2016	강서구	10월	25	24	-	1	-	-	98.3	80,828	31,064	49,764	640,772	-	-	-	-	-
2016	강서구	11월	23	22	-	1	-	-	58	38,322	19,105	19,217	41,131	1	-	1	-	1
2016	강서구	12월	24	20	-	4	-	-	62	62,330	18,722	43,608	87,436	-	-	-	-	-
2016	구로구	계	247	222	5	20	44	-	962	438,208	183,911	254,297	18,826,314	5	2	3	-	2
2016	구로구	1월	21	20	-	1	5	-	5	11,933	2,414	9,519	2,622,331	1	-	1	-	-
2016	구로구	2월	21	19	-	2	6	-	122	27,004	17,851	9,153	2,210,748	-	-	-	-	2
2016	구로구	3월	31	23	1	7	13	-	300	126,736	51,959	74,777	677,225	-	-	-	-	-
2016	구로구	4월	23	21	1	1	7	-	191	28,442	20,253	8,189	652,647	-	-	-	-	-
2016	구로구	5월	21	20	-	1	-	-	40	23,248	13,555	9,693	114,688	-	-	-	-	-
2016	구로구	6월	27	27	-	-	1	-	27	15,784	7,826	7,958	439,111	-	-	-	-	-
2016	구로구	7월	20	19	1	-	2	-	125	48,530	32,526	16,004	156,728	3	2	1	-	-
2016	구로구	8월	19	16	-	3	2	-	75	71,360	10,998	60,362	1,112,421	1	-	1	-	-
2016	구로구	9월	15	14	-	1	1	-	-	13,298	249	13,049	20,692	-	-	-	-	-
2016	구로구	10월	19	17	1	1	3	-	27	19,159	9,222	9,937	5,561,268	-	-	-	-	-
2016	구로구	11월	17	15	1	1	2	-	20	35,169	7,789	27,380	1,672,837	-	-	-	-	-
2016	구로구	12월	13	11	-	2	2	-	30	17,545	9,269	8,276	3,585,618	-	-	-	-	-
2016	금천구	계	173	152	11	10	35	-	230	172,424	60,426	111,998	14,567,174	7	-	7	-	-
2016	금천구	1월	13	13	-	-	12	-	1	10,184	772	9,412	518,492	1	-	1	-	-
2016	금천구	2월	20	17	3	-	7	-	46	15,826	7,731	8,095	5,896,104	2	-	2	-	-
2016	금천구	3월	17	11	2	4	2	-	15	33,734	4,263	29,471	2,415,374	2	-	2	-	-
2016	금천구	4월	13	11	1	1	3	-	19	6,265	1,967	4,298	13	-	-	-	-	-
2016	금천구	5월	11	11	-	-	1	-	15	5,464	1,270	4,194	148,298	-	-	-	-	-
2016	금천구	6월	15	13	2	-	-	-	10	7,100	4,657	2,443	2,113,789	-	-	-	-	-
2016	금천구	7월	13	12	-	1	1	-	35	25,550	11,244	14,306	819,657	-	-	-	-	-
2016	금천구	8월	15	13	1	1	2	-	12	6,304	2,259	4,045	822,632	-	-	-	-	-
2016	금천구	9월	11	11	-	-	3	-	3	6,568	936	5,632	338,492	-	-	-	-	-
2016	금천구	10월	12	9	1	2	1	-	25	18,089	9,242	8,847	461,929	1	-	1	-	-
2016	금천구	11월	10	9	-	1	1	-	1	4,305	97	4,208	1,208	1	-	1	-	-
2016	금천구	12월	23	22	1	-	2	-	48	33,035	15,988	17,047	1,031,186	-	-	-	-	-
2016	영등포구	계	280	251	14	15	79	3	2,108.94	778,114	318,781	459,333	35,492,657	8	1	7	5	15
2016	영등포구	1월	28	24	3	1	9	-	1,008.14	150,317	69,686	80,631	3,558,277	-	-	-	-	1
2016	영등포구	2월	25	23	2	-	10	-	61.4	49,313	29,321	19,992	597,182	2	1	1	-	4
2016	영등포구	3월	25	23	1	1	8	-	30	42,825	12,979	29,846	1,296,090	-	-	-	-	-
2016	영등포구	4월	28	23	3	2	8	-	269	118,601	53,183	65,418	21,375,436	1	-	1	-	4
2016	영등포구	5월	25	22	1	2	14	-	26	10,595	3,065	7,530	682,765	1	-	1	-	-
2016	영등포구	6월	20	19	-	1	9	-	132.4	78,775	11,395	67,380	1,883,899	-	-	-	-	-
2016	영등포구	7월	21	19	-	2	8	-	80	73,091	19,569	53,522	1,977,684	1	-	1	-	-
2016	영등포구	8월	21	20	1	-	1	2	40	43,291	7,091	36,200	45,897	1	-	1	3	2
2016	영등포구	9월	19	18	-	1	3	-	57	28,534	11,193	17,341	123,641	1	-	1	-	1
